"Actividad","Días de Duración","Fecha de Inicio","Fecha de Entrega"
"1.1. Haciendo Equipo","6","16/01/2025","22/01/2025"
"1.2. Definición de problemática y propuesta de prototipo Web","6","23/01/2025","29/01/2025"
"2.1. Introducción a las metodologías ágiles","4","30/01/2025","03/02/2025"
"2.2. Introducción a la metodología Scrum","4","04/02/2025","08/02/2025"
"2.3. Introducción a la planeación","4","09/02/2025","13/02/2025"
"2.4. Planeación del prototipo de sistema Web y diagrama de Gantt","6","14/02/2025","20/02/2025"
"3.1. Requerimientos funcionales y no funcionales de un sistema Web","4","21/02/2025","25/02/2025"
"3.2. Preparación entrevista de requerimientos","6","26/02/2025","04/03/2025"
"3.3. Análisis de requerimientos","11","05/03/2025","16/03/2025"
"3.4. Diagrama de casos de uso y definición de escenarios","10","17/03/2025","27/03/2025"
"4.1. Introducción al diseño Web","7","28/03/2025","04/04/2025"
"4.2. Carta de navegación del prototipo de sistema Web","8","05/04/2025","13/04/2025"
"4.3. Wireframes del prototipo de sistemas Web","10","28/04/2025","08/05/2025"
"Producto Integrador. Prototipo de sistema Web","11","09/05/2025","20/05/2025"